"","fecha","desayuno","colacion1","comida","colacion2","cena","ejercicio"
"1","2018-06-30","","panDulce+lecheChocolate","","hamburgesaPollo+hamburguesaResDoble+papas","",""
"2","2018-07-01","2huevosSalchicha","","2tacosArabes","","2tortilla+multibranPasas+lecheAlmendra","rutinaBrazo1+rutinaPecho1"
"3","2018-07-02","multibranPasas+lecheAlmendra","manzana+quesoMozzarela","milanesaRes+champinones+galletaCremaLimon","manzana+quesoMozzarela","chocorroles",""
"4","2018-07-03","2huevosMachaca","10 rebanadasPeperoni","1/2polloAsado(donPollo)","rufflesQueso","pozoleGrande+3tacoCochinita(casaPepe)",""
"5","2018-07-04","multibranPasas+lecheAlmendra","10 rebanadasPeperoni","1sandwichBLT(subway)","chocolateCaliente+galletasEmperador","multibranPasas+lecheAlmendra",""
"6","2018-07-05","multibranPasas+lecheAlmendra","pepino","polloAdobo+sopaVerduras+purePapa+ensalada(vips)","pera+peperami+6almendra","1/2pizzaEspinaca+ribEye+camote",""
"7","2018-07-06","multibranPasas+lecheAlmendra","","1/4polloAsado+arroz+chorizo+2tortillas(donPollo)","chocolateCaliente+chocorroles","4panThin",""
"8","2018-07-07","4quesadillasPanelaNopal","granada","cecina+Chorizo+enchilada+flan+cafe","1/2heladoCoco","1ordenBistecQueso",""
"9","2018-07-08","4panLinaza","rufflesQueso","1/2pizza+pastaChipotle","","strudelManzana+cafe",""
"10","2018-07-09","","1guayaba+1/3proteina+4almendra","sopaLentejas+arroz+milanesaRes+papas","1guayaba+1/3proteina+4almendra","1pizza+refresco+chocorroles+lecheChocolate",""
"11","2018-07-10","1/2tartaFrutas","1/2manzana+1/3proteina","1pozole+1quesadilla","1/2manzana+1/3proteina","5tacosPastor","rutinaPierna1"
"12","2018-07-11","2huevosConSalchicha","2salchicha","1/2polloAsado","2salchicha","1pizza","caminadora5km34mins"
"13","2018-07-12","","1/2vasoFruta+1/3proteina+rufflesQueso","1pozole+1quesadilla+1aguaHorchata","1/2vasoFruta+1/3proteina","tortaCubana+tortaMilanesa+aguaSandia","rutinaBrazo1+rutinaPecho1"
"14","2018-07-13","","2peperami+rufflesQueso","consome+bisteckCerdo+panela+nopal+2panes+totopos","4churros+chocolateCaliente","ramenChasuGde(sushiroll)","caminadora5km35mins"
"15","2018-07-14","omeletteEspinacaChampiñon","","hamburgesaArracheraDoble+papas+refrescoSinAzucar","mordisko","2quesadillasHarina",""
"16","2018-07-15","2quesadillasHarina+2tortillas+chocolateCaliente","","5rebanadasPizza","","pozole+quesadillaCochinita+aguaHorchata",""
"17","2018-07-16","5claras+nopal+2tortillasNopal","peperoni","pozole","manzana+1/2proteina","polloJitomatePeperoni+espinacas","caminadora5km33mins"
"18","2018-07-17","licuadoPiñaApioProteinaAlmendras","peperami+dedoQueso+jicama+pepino+6almendra","polloJitomatePeperoni+espinacas","2mandarinas+4almendra+1/2proteina","licuadoFresaChiaAvenaProteinaAlmendra","rutinaPierna1"
"19","2018-07-18","5clarasJamon+1/2aguacate","peperoni","carneAsada+panela","rufflesQueso+refrescoSinAzucar","polloAsadoBuffalo","caminadora5km38mins"
"20","2018-07-19","2huevosMachaca+2panThins","peperoni+panela+jicama+pepino+6almendra","milanesaRes+papas+ensaladaJitomate+pan+totopos","manzana+1/2proteina","licuadoFresaChiaAvenaProteinaAlmendra",""
"21","2018-07-20","licuadoPiñaApioProteinaAlmendras+multibranPasas","","birria+quesadilla+3tortilla+cervezaClamato","","multibranPasas+ginTonic","rutinaBrazo1+rutinaPecho1"
"22","2018-07-21","","multibranPasas","2tacosPocChuc+quesoRelleno+refrescoSinAzucar","3panThins+crutones","raviolesQueso",""
"23","2018-07-22","omeletteClarasEspinacaPanela","pepino+tamal+pan","milanesaRes+papas+malteadaChocolate","heladoCajeta+2mandarinas+1/2proteina+2rufflesQueso","gnocchi+pan",""
"24","2018-07-23","licuadoManzanaAvenaProteinaAlmendras","2mandarinas+1/2proteina","8tacosPastor+tacoBistecQueso","2mandarinas+1/2proteina","carneRes+gnocchi+3panThins","caminadora5km33min"
"25","2018-07-24","panelaAsado+piña","","cochinitaPibil+4tortillas+aguaFresaCrema","manzana+1/2proteina","polloAsado",""
"26","2018-07-25","2huevosSalchicha+lecheAlmendras","15rebanadasPeperoni","polloAsado","chicharron","chuletaAhumada+costilla+2tortillaHarina","caminadora5km34mins"
"27","2018-07-26","panelaAsado+tortillaHarina","","chuletaAhumada+costilla+2tortillaHarina","manzana+1/2proteina+churrumais+refrescoSinAzucar","polloAsado+rufflesQueso",""
"28","2018-07-27","","peperoni","polloAsado","chicharron","chuletaAhumada+rufflesQueso+9panMermelada",""
"29","2018-07-28","omeletteClarasEspinacaPanela","crutones","2cecina+3tortillasMaiz","","cremaAlcachofa+arroz+4pan+2vodkaAguaQuina+gomitas","caminadora5km32mins"
"30","2018-07-29","","3panFrancesMiel","ribeye+chorizo+papa+queso+aguaHorchata","4panTostado+3chocolateLindtt","",""
