"","FECHA","DESCRIPCIÓN","CARGO","ABONO","SALDO","CATEGORIA"
"1",2018-05-02,"UBER TRIP SUBIX HELP.UBER",-153.07,NA,21012.66,"transporte"
"2",2018-05-02,"7 ELEVEN G GLEZ CAMARE",-30,NA,21165.73,"tiendita"
"3",2018-05-02,"REFORMA RHIN CR",-1539,NA,21195.73,"gimnasio"
"4",2018-05-02,"TEF ENVIADO  SANTANDER",-6000,NA,22734.73,"renta"
"5",2018-05-02,"CHILI S REFORMA",-182.85,NA,28734.73,"comida fuera"
"6",2018-05-03,"SUPER CENTER FELIX C",-635.01,NA,20377.65,"super"
"7",2018-05-04,"DYNASTY REFORMA",-106,NA,20257.65,"comida fuera"
"8",2018-05-04,"7 ELEVEN T 2512 RIO",-14,NA,20363.65,"tiendita"
"9",2018-05-07,"POSTMATES CR",-25,NA,20000.25,"comida fuera"
"10",2018-05-07,"7 ELEVEN PARROQUIA",-26,NA,20025.25,"tiendita"
"11",2018-05-07,"CHILI S GALERIAS INSUR",-174.9,NA,20051.25,"comida fuera"
"12",2018-05-07,"OXXO SAN JOSE",-31.5,NA,20226.15,"tiendita"
"13",2018-05-08,"GAS LILAS",-360,NA,19440.25,"transporte"
"14",2018-05-08,"RETIRO CAJERO AUTOMATICO",-200,NA,19800.25,"efectivo"
"15",2018-05-09,"7 ELEVEN T 2512 RIO",-36,NA,19404.25,"tiendita"
"16",2018-05-10,"7 ELEVEN T 2512 RIO",-32,NA,19259.25,"tiendita"
"17",2018-05-10,"CASA PEPE",-113,NA,19291.25,"comida fuera"
"18",2018-05-11,"SUPER CENTER FELIX C",-669.18,NA,18454.77,"super"
"19",2018-05-11,"REST DON POLLO",-124.3,NA,19123.95,"comida fuera"
"20",2018-05-11,"OXXO SAN JOSE",-11,NA,19248.25,"tiendita"
"21",2018-05-13,"PAGO CUENTA DE TERCERO",NA,24000,41851.29,"prestamo papa"
"22",2018-05-14,"REST SUSHI ROLL",-170.5,NA,41449.89,"comida fuera"
"23",2018-05-14,"OXXO MARAKA",-30.9,NA,41620.39,"tiendita"
"24",2018-05-14,"RETIRO CAJERO AUTOMATICO",-200,NA,41651.29,"efectivo"
"25",2018-05-14,"UBER   *TRIP QYI5B",-67.93,NA,17851.29,"transporte"
"26",2018-05-14,"EXTRA K PARROQUIA",-43,NA,17919.22,"tiendita"
"27",2018-05-14,"REST JULIU S PIZZAS",-146.05,NA,17962.22,"comida fuera"
"28",2018-05-14,"EXTRA K PARROQUIA",-106.5,NA,18108.27,"tiendita"
"29",2018-05-14,"LIVERPOOL INSURGENTES",-240,NA,18214.77,"ropa"
"30",2018-05-15,"GREEN GRASS REFORMA",-141.9,NA,41286.49,"comida fuera"
"31",2018-05-15,"EXTRA K PARROQUIA",-21.5,NA,41428.39,"tiendita"
"32",2018-05-16,"RETIRO SIN TARJETA",-200,NA,58586.49,"efectivo"
"33",2018-05-16,"PAGO DE NOMINA",NA,15907,58786.49,"salario"
"34",2018-05-16,"PAGO DE NOMINA",NA,1593,42879.49,"salario"
"35",2018-05-17,"PANDA SALVADOR AGRAZ",-159,NA,57029.29,"comida fuera"
"36",2018-05-17,"OUTLET OBSERVATORIO",-1198.2,NA,57188.29,"ropa"
"37",2018-05-17,"RETIRO SIN TARJETA",-200,NA,58386.49,"efectivo"
"38",2018-05-18,"UBER TRIP LL5SV HELP.UBER",-40.14,NA,54183.65,"transporte"
"39",2018-05-18,"SUPERAMA SANTA FE",-431.5,NA,54223.79,"super"
"40",2018-05-18,"LIBRERIA BONILLA MAQ",-374,NA,54655.29,"libros"
"41",2018-05-18,"SPEI ENVIADO BANORTE",-1500,NA,55029.29,"nutriologa"
"42",2018-05-18,"RETIRO SIN TARJETA",-500,NA,56529.29,"efectivo"
"43",2018-05-19,"RETIRO CAJERO AUTOMATICO",-500,NA,53683.65,"efectivo"
"44",2018-05-21,"SPEI ENVIADO BANORTE",-1500,NA,51007.17,"nutriologa"
"45",2018-05-21,"REST LA CALACA",-599.5,NA,52507.17,"comida fuera"
"46",2018-05-21,"EL GLOBO PARROQUIA",-69.99,NA,53106.67,"comida fuera"
"47",2018-05-21,"SUPER CENTER FELIX C CASH",-506.99,NA,53176.66,"super"
"48",2018-05-22,"UBER   *TRIP SVHGW",-61.5,NA,50170.77,"transporte"
"49",2018-05-22,"CHILI S GALERIAS INSUR",-174.9,NA,50232.27,"comida fuera"
"50",2018-05-22,"GYM SWMANACAR",-250,NA,50407.17,"gimnasio"
"51",2018-05-22,"TACOS DON MANOLITO",-150,NA,50657.17,"comida fuera"
"52",2018-05-22,"RETIRO SIN TARJETA",-200,NA,50807.17,"efectivo"
"53",2018-05-23,"SUPER CENTER FELIX C",-170.5,NA,49338.27,"super"
"54",2018-05-23,"AICM T1",-176,NA,49508.77,"transporte"
"55",2018-05-23,"SALA E BARON ROJO",-144,NA,49684.77,"comida fuera"
"56",2018-05-23,"IZ  CAFE PARABIEN",-20,NA,49828.77,"comida fuera"
"57",2018-05-23,"IZ  MYRNA CEBALLOS",-22,NA,49848.77,"tiendita"
"58",2018-05-23,"RETIRO CAJERO AUTOMATICO",-300,NA,49870.77,"efectivo"
"59",2018-05-24,"GREEN GRASS REFORMA",-141.9,NA,49102.37,"comida fuera"
"60",2018-05-24,"REST EL INDIO TAQUERO",-94,NA,49244.27,"comida fuera"
"61",2018-05-25,"MUSEO FRIDA KAHLO CIB",-128.4,NA,46604.47,"salida"
"62",2018-05-25,"FOREVER 21 MEXICO",-1332,NA,46732.87,"error banco"
"63",2018-05-25,"CINEMEX COM",-296,NA,48064.87,"error banco"
"64",2018-05-25,"TERRAZA GRAN HOTEL",-701.5,NA,48360.87,"salida"
"65",2018-05-25,"IZ  CAFE PARABIEN",-40,NA,49062.37,"comida fuera"
"66",2018-05-28,"CAFE TORINO MANACAR",-1048.3,NA,42702.18,"comida fuera"
"67",2018-05-28,"SERV CARCEL",-350,NA,43750.48,"transporte"
"68",2018-05-28,"REST C VINATERIA",-565,NA,44100.48,"salida"
"69",2018-05-28,"PRIME CLUB",-700,NA,44665.48,"salida"
"70",2018-05-28,"REST LA CELESTINA",-400,NA,45365.48,"comida fuera"
"71",2018-05-28,"SUBWAY HIDALGO",-78,NA,45765.48,"comida fuera"
"72",2018-05-28,"7 ELEVEN T1706",-50,NA,45843.48,"tiendita"
"73",2018-05-28,"SUPER CENTER FELIX C",-216,NA,45893.48,"super"
"74",2018-05-28,"GAS SERV CANADA 2",-494.99,NA,46109.48,"transporte"
"75",2018-05-29,"CASA PEPE",-277,NA,43942.73,"comida fuera"
"76",2018-05-29,"REST DON POLLO I",-95.45,NA,44219.73,"comida fuera"
"77",2018-05-29,"OXXO NAZAS MEX",-15,NA,44315.18,"tiendita"
"78",2018-05-29,"CORRECCION ABONO",NA,296,44330.18,"error banco"
"79",2018-05-29,"CORRECCION ABONO",NA,1332,44034.18,"error banco"
"80",2018-05-30,"7 ELEVEN T 2512 RIO",-30,NA,43562.71,"tiendita"
"81",2018-05-30,"SUPER CENTER FELIX C",-150.02,NA,43592.71,"super"
"82",2018-05-30,"RETIRO CAJERO AUTOMATICO",-200,NA,43742.73,"efectivo"
"83",2018-05-31,"SUPER CENTER FELIX C",-594.12,NA,60466.19,"super"
"84",2018-05-31,"PAGO DE NOMINA",NA,15907,61060.31,"salario"
"85",2018-05-31,"PAGO DE NOMINA",NA,1590.6,45153.31,"salario"
"86",2018-06-01,"REST EL INDIO TAQUERO",-91,NA,60233.69,"comida fuera"
"87",2018-06-01,"RESTAURANT ARLES",-110,NA,60324.69,"comida fuera"
"88",2018-06-01,"OXXO NAZAS MEX",-31.5,NA,60434.69,"tiendita"
"89",2018-06-04,"UBER TRIP QF3NV HELP.UBER",-226.37,NA,57723.23,"transporte"
"90",2018-06-04,"ESCAPARATE BAR SANTA F",-1802,NA,57949.6,"salida"
"91",2018-06-04,"UBER TRIP WLFXZ HELP.UBER",-66.31,NA,59751.6,"transporte"
"92",2018-06-04,"UBER TRIP L7FEB HELP.UBER",-144.78,NA,59817.91,"transporte"
"93",2018-06-04,"SUSHIITTO C COM STA FE",-112,NA,59962.69,"comida fuera"
"94",2018-06-04,"PANDA SALVADOR AGRAZ",-159,NA,60074.69,"comida fuera"
"95",2018-06-05,"REST CASA LOS ABUELOS",-167,NA,57556.23,"comida fuera"
"96",2018-06-06,"CINEMEX MANACAR",-198,NA,55603.23,"salida"
"97",2018-06-06,"REST DON POLLO",-90,NA,55801.23,"comida fuera"
